,url,segment_no,cumle_icerigi,sözcük_sayisi
0,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,0,Kavaklı Mahallesi Mustafa Kemal Caddesinde bulunan bir çöp tenekesinin içerisine son kullanım tarihi geçmiş çok sayıda ekmek atıldı.,18
1,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,1,"Ekmeklerin çöpe atılmasına tepki gösteren vatandaşlardan İlhan Çakmak, ""Ben bu insanlara çok kızıyorum.",13
2,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,2,Neden yenilecek kadar ekmek alınmıyor da atılıyor.,7
3,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,3,"Nankörlük yapan insanlara isyan ediyorum"" dedi.Çöpe atılan ekmekleri gören bir diğer vatandaş ise, ""Bence çöpe ekmek atılmaz bu insanlar yanlış yapıyorlar.",21
4,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,4,Diyecek söz bulamıyorum.,3
5,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,5,"Çiçeklerin otların içine koysalar en azından hayvanlar orada yiyor"" diye konuştu.Murat Delice",12
6,https://www.iha.com.tr/haber-mesut-yilmaz-beyin-ameliyati-oldu-843816/,0,"Eski Başbakan ve Anavatan Partisinin eski Genel Başkanı Mesut Yılmaz, beyin sapında bir tümör saptanmasının ardından ameliyata alındı.",18
7,https://www.iha.com.tr/haber-mesut-yilmaz-beyin-ameliyati-oldu-843816/,1,"Yılmaz, Yeditepe Üniversitesi Koşuyolu Hastanesinde ameliyat geçirdi.",7
8,https://www.iha.com.tr/haber-mesut-yilmaz-beyin-ameliyati-oldu-843816/,2,Yılmazın ameliyatının iyi geçtiği ve tümörün alındığı öğrenildi.Hastaneden açıklama yapıldıYeditepe Üniversitesi Tıp Fakültesi Beyin ve Sinir Cerrahisi Ana Bilim Dalık Başkanı Prof. Dr. Uğur Türe ve ekibi tarafından ameliyat edilen Mesut Yılmazın sağlık durumunun iyiye gittiği açıklandı.,37
9,https://www.iha.com.tr/haber-mesut-yilmaz-beyin-ameliyati-oldu-843816/,3,"Öte yandan, Yeditepe Üniversitesi Hastaneleri Tıbbi Direktörü Prof. Dr. Fahrettin Keleştimur ve Prof. Dr. Uğur Türe tarafından yapılan açıklamada, ""Mesut Yılmaz, 5 Mayıs 2020 tarihinde Yeditepe Üniversitesi Koşuyolu Hastanesinde başarılı bir beyin ameliyatı geçirmiştir.",34
10,https://www.iha.com.tr/haber-mesut-yilmaz-beyin-ameliyati-oldu-843816/,4,"Şu an itibariyle tedavisine serviste devam edilmekte ve sağlık durumu hızla iyileşmektedir"" ifadelerine yer verildi.Gamze Erdemir - Cem Güney Kılıç",20
11,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,0,Trabzon Havalimanı pist bakımı nedeniyle 23 Nisan günü yaklaşık 1 ay süreyle uçuşlara kapatıldı.,14
12,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,1,"Onarım çalışmaları kapsamında pistte asfalt söküm işlemleri tamamlanırken, yeni asfalt katlarının döküm işleminin sürdüğü gözlendi.",15
13,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,2,"Mayıs ayı sonuna kadar bitirilmesi planlanan çalışmaları Trabzon Valisi İsmail Ustaoğlu beraberindekiler ile birlikte yerinde izleyerek yetkililerden bilgi aldı.Hava trafiğine 1957 yılında açılan Trabzon Havalimanının 2 bin 640 metre uzunluğa, 45 metre genişliğe ve 7,5 metre banket genişliğine sahip pisti bulunuyor.",41
14,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,3,"Havalimanı, orta ebatlı uçakların inmesine uygun ICAO standartlarında yer alıyor.",10
15,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,4,"Korona virüs salgını öncesinde Trabzon Havalimanından İstanbul, Ankara ve Adanaya her gün; İzmir, Antalya, Bursa Yenişehir ve Kocaeli havalimanlarına ise haftada birkaç kez sefer düzenleniyorduTrabzon Havalimanını DHMİ verilerine göre 2019 yılında iç hatlarda 3 milyon 372 bin 231, dış hatlarda ise 394 bin 917 olmak üzere toplam 3 milyon 767 bin 148 yolcunun kullandı.",54
16,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,5,"2019 yılında iç hat iniş-kalkış yapan uçak sayısı 25 bin 930, dış hat iniş-kalkış yapan uçak sayısı ise 4 bin 405 olmak üzere toplam 30 bin 335 olarak gerçekleşti.",29
17,https://www.iha.com.tr/haber-kilise-giris-cikislara-kisitlama-getirildi-843814/,0,Kilisten Gaziantepte bir fabrikaya servis ile gidip gelen işçilerde korona virüs çıkmasından sonra Kilis Valiliği bir dizi tedbirleri uygulamaya koydu.,20
18,https://www.iha.com.tr/haber-kilise-giris-cikislara-kisitlama-getirildi-843814/,1,"Kilis Valiliği tarafından Hafta sonu sokağa çıkma yasağı uygulanmakta olan Büyükşehir statüsündeki Gaziantep ve Hatay illerinden sokağa çıkma yasağı uygulaması başlamadan önce Kilise akraba ziyareti, hafta sonu izni gerekçelerle yoğun bir ziyaret trafiği başladığından,10 Mayıs 2020 Pazar Günü saat 00.00a kadar Kilis sınırlarına karayolu ile toplu ulaşım aracı, özel araç ve yaya yapılacak tüm girişlerin aşağıda belirtilen istisnalar haricinde geçici olarak durdurulmasına karar verildi.",64
19,https://www.iha.com.tr/haber-kilise-giris-cikislara-kisitlama-getirildi-843814/,2,"Bu gelişme üzerine İl Emniyet Müdürlüğü ekipleri, Kilis Organize Sanayi Bölgesi (OSB) kavşağında Gaziantepten gelen araçlar üzerinde uygulama yapmaya başladı.",20
20,https://www.iha.com.tr/haber-kilise-giris-cikislara-kisitlama-getirildi-843814/,3,Jandarma ekiplerinin de Hatay istikametinden gelen araçlar üzerinde benzer uygulama yapmaya başladı.,12
21,https://www.iha.com.tr/haber-kilise-giris-cikislara-kisitlama-getirildi-843814/,4,Hatay ve Gaziantepten köy yollarını kullanarak Kilise gelenlerin engellenmesi içinde jandarma ekipleri denetimleri başladı.Mehmet Ali Dağ,16
22,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,0,Korona virüs pandemisi sebebiyle ayın konuğu programını telekonferans yoluyla gerçekleştiren Bursa İl Dernekleri Federasyonu (BİLDEF) 2. programda İçişleri Bakanı Süleyman Soyluyu konuk etti.BİLDEF bünyesindeki 29 ayrı derneğin başkanının hazır bulunduğu toplantıda Bakan soylu 2 saat boyunca kendisine yöneltilen soruları cevaplandırdı.,40
23,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,1,Dernek başkanları Bursanın sorunları başta olmak üzere üyelerinin ve halkın sorunları ve taleplerini Bakan Soyluya iletti.Bildef Genel Başkanı Ramazan Alpin moderatörlüğünü yaptığı telekonferans boyunca İçişleri Bakanı Süleyman Soylunun sorulan tüm sorulara samimi ve içten cevap vermesi tüm dernek başkanlarının takdirini topladı.,41
24,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,2,"Başkanlar, Bakan Soyluya talep ve önerilerini direkt olarak aktarma fırsatını yakaladı.",11
25,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,3,Ülkenin içinde olduğu tüm sorunlar dile getirilerek çözüm önerileri sunuldu.,10
26,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,4,Başkanlar İçişleri Bakanından Cumhurbaşkanı ile de bir telekonferans yapılması için talepte bulundu.,12
27,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,5,"Soylu, başkanların talebini Cumhurbaşkanına ileteceğini söyledi.Toplantı Bakan Soyluyu alkışlayan dernek başkanlarının teşekkürleriyle son buldu.Süleyman Aydın",15
28,https://www.iha.com.tr/haber-isale-hatti-projesi-tamamlandi-843810/,0,"Suluova Belediyesi, 52 yıllık Havza-Eymir içme suyu isalesi ve 35 yıllık Alaçam-Evrice (Akdağ) içme suyu isale hattının yenilenmesi için başlattığı proje çalışmasında sona geldi.",24
29,https://www.iha.com.tr/haber-isale-hatti-projesi-tamamlandi-843810/,1,"Daha kaliteli, sağlıklı ve yeterli içme suyu kullanabilmesi için mevcut hatların bakım ve yenileme çalışmalarına devam ettiğini ifade eden Belediye Başkanı Fatih Üçok, ""Gelecekte içme suyu ihtiyacının artacağını göz önüne alarak önemli su kaynaklarını devreye sokmak için bölgede önemli adımlar attık.",41
30,https://www.iha.com.tr/haber-isale-hatti-projesi-tamamlandi-843810/,2,Zamana ve kullanıma bağlı olarak yıpranan hatların yenileme çalışmaları kapsamında Belediyemiz ile İller Bankası Genel Müdürlüğümüz ve yüklenici firma tarafından başlattığımız proje çalışmasında sona geldik.,25
31,https://www.iha.com.tr/haber-isale-hatti-projesi-tamamlandi-843810/,3,Havza-Eymir içme suyu ve Alaçam-Evrice (Akdağ) içme suyu isale hattı üzerinde yenileme çalışması yaparak yeniden ilçemize kazandırıyoruz” dedi.,18
32,https://www.iha.com.tr/haber-evinden-cikmayan-yaslilar-icin-alisveris-yaptilar-843809/,0,"Korona virüs salgını nedeniyle evden çıkmayan yaşlılar için marketten alışveriş yapan gençler, bir nebze de olsa 65 yaş üstü vatandaşların ihtiyaçlarını giderdi.Amaçlarının sadece yaşlıların ve ihtiyaç sahibi ailelerin hayır dualarını almak olduğunu söyleyen gönüllülerden Meliha Kurt, ""Korona virüs sebebiyle dışarı çıkamayan yaşlılarımız için markete gidip alışveriş yaptık, kapılarına kadar teslim ettik.",51
33,https://www.iha.com.tr/haber-evinden-cikmayan-yaslilar-icin-alisveris-yaptilar-843809/,1,"Bizleri kapıda karşılayıp, gördüklerinde çok mutlu olduklarını söylediler.Onlarla sohbet edip hayır dualarını aldık.",13
34,https://www.iha.com.tr/haber-evinden-cikmayan-yaslilar-icin-alisveris-yaptilar-843809/,2,Bizlere Allahın emaneti olan yaşlılarımızı bu süreçte yalnız bırakmayacağız.,9
35,https://www.iha.com.tr/haber-evinden-cikmayan-yaslilar-icin-alisveris-yaptilar-843809/,3,"Bizler gönüllü arkadaşlarla birlikte hep onların yanında olacağız"" dedi.Fazilet Çomruk",10
36,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,0,"Kadıköyde geçtiğimiz günlerde meydana gelen olayda, Vecdi Akgül telefon tamircisine verdiği telefonunu beklemek için bir kaldırıma oturdu.",17
37,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,1,O sırada binanın çatı çıkıntısından kopan beton parçaları bir anda adamın üzerine düştü.,13
38,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,2,Neye uğradığını şaşıran Akgül yerinden fırlayıp kaçtı.,7
39,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,3,Beton parçaların düşmesi nedeniyle Akgül omuzundan yaralandı.,7
40,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,4,Öte yanda düşen parçaların Akgülün kafasına isabet etmemesi olası bir faciayı önlemiş oldu.O anlar güvenlik kamerasına yansıdı.,17
41,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,5,Görüntülerde kaldırımda oturan üzerine başına bir anda beton parçalar düşmeye başlıyor.,11
