,Link,Body_text
0,https://www.iha.com.tr/haber-beylikduzunde-ekmeklerin-cope-atildigini-goren-vatandaslar-isyan-etti-843818/,"
	Kavaklı Mahallesi Mustafa Kemal Caddesi'nde bulunan bir çöp tenekesinin içerisine son kullanım tarihi geçmiş çok sayıda ekmek atıldı. Ekmeklerin çöpe atılmasına tepki gösteren vatandaşlardan İlhan Çakmak, ""Ben bu insanlara çok kızıyorum. Neden yenilecek kadar ekmek alınmıyor da atılıyor. Nankörlük yapan insanlara isyan ediyorum"" dedi.
	Çöpe atılan ekmekleri gören bir diğer vatandaş ise, ""Bence çöpe ekmek atılmaz bu insanlar yanlış yapıyorlar. Diyecek söz bulamıyorum. Çiçeklerin otların içine koysalar en azından hayvanlar orada yiyor"" diye konuştu.
Murat Delice
	 "
1,https://www.iha.com.tr/haber-mesut-yilmaz-beyin-ameliyati-oldu-843816/,"
	Eski Başbakan ve Anavatan Partisi'nin eski Genel Başkanı Mesut Yılmaz, beyin sapında bir tümör saptanmasının ardından ameliyata alındı. Yılmaz, Yeditepe Üniversitesi Koşuyolu Hastanesinde ameliyat geçirdi. Yılmaz'ın ameliyatının iyi geçtiği ve tümörün alındığı öğrenildi.
Hastaneden açıklama yapıldı
	Yeditepe Üniversitesi Tıp Fakültesi Beyin ve Sinir Cerrahisi Ana Bilim Dalık Başkanı Prof. Dr. Uğur Türe ve ekibi tarafından ameliyat edilen Mesut Yılmaz'ın sağlık durumunun iyiye gittiği açıklandı. Öte yandan, Yeditepe Üniversitesi Hastaneleri Tıbbi Direktörü Prof. Dr. Fahrettin Keleştimur ve Prof. Dr. Uğur Türe tarafından yapılan açıklamada, ""Mesut Yılmaz, 5 Mayıs 2020 tarihinde Yeditepe Üniversitesi Koşuyolu Hastanesinde başarılı bir beyin ameliyatı geçirmiştir. Şu an itibariyle tedavisine serviste devam edilmekte ve sağlık durumu hızla iyileşmektedir"" ifadelerine yer verildi.
Gamze Erdemir - Cem Güney Kılıç"
2,https://www.iha.com.tr/haber-trabzon-havalimaninda-pist-yenileme-calismalari-devam-ediyor-843815/,"
	Trabzon Havalimanı pist bakımı nedeniyle 23 Nisan günü yaklaşık 1 ay süreyle uçuşlara kapatıldı. Onarım çalışmaları kapsamında pistte asfalt söküm işlemleri tamamlanırken, yeni asfalt katlarının döküm işleminin sürdüğü gözlendi. Mayıs ayı sonuna kadar bitirilmesi planlanan çalışmaları Trabzon Valisi İsmail Ustaoğlu beraberindekiler ile birlikte yerinde izleyerek yetkililerden bilgi aldı.
	Hava trafiğine 1957 yılında açılan Trabzon Havalimanı'nın 2 bin 640 metre uzunluğa, 45 metre genişliğe ve 7,5 metre banket genişliğine sahip pisti bulunuyor. Havalimanı, orta ebatlı uçakların inmesine uygun 'ICAO' standartlarında yer alıyor. Korona virüs salgını öncesinde Trabzon Havalimanı'ndan İstanbul, Ankara ve Adana'ya her gün; İzmir, Antalya, Bursa Yenişehir ve Kocaeli havalimanlarına ise haftada birkaç kez sefer düzenleniyordu
	Trabzon Havalimanı'nı DHMİ verilerine göre 2019 yılında iç hatlarda 3 milyon 372 bin 231, dış hatlarda ise 394 bin 917 olmak üzere toplam 3 milyon 767 bin 148 yolcunun kullandı. 2019 yılında iç hat iniş-kalkış yapan uçak sayısı 25 bin 930, dış hat iniş-kalkış yapan uçak sayısı ise 4 bin 405 olmak üzere toplam 30 bin 335 olarak gerçekleşti."
3,https://www.iha.com.tr/haber-kilise-giris-cikislara-kisitlama-getirildi-843814/,"
	Kilis'ten Gaziantep'te bir fabrikaya servis ile gidip gelen işçilerde korona virüs çıkmasından sonra Kilis Valiliği bir dizi tedbirleri uygulamaya koydu. Kilis Valiliği tarafından Hafta sonu sokağa çıkma yasağı uygulanmakta olan Büyükşehir statüsündeki Gaziantep ve Hatay illerinden sokağa çıkma yasağı uygulaması başlamadan önce Kilis'e akraba ziyareti, hafta sonu izni gerekçelerle yoğun bir ziyaret trafiği başladığından,10 Mayıs 2020 Pazar Günü saat 00.00'a kadar Kilis sınırlarına karayolu ile toplu ulaşım aracı, özel araç ve yaya yapılacak tüm girişlerin aşağıda belirtilen istisnalar haricinde geçici olarak durdurulmasına karar verildi. Bu gelişme üzerine İl Emniyet Müdürlüğü ekipleri, Kilis Organize Sanayi Bölgesi (OSB) kavşağında Gaziantep'ten gelen araçlar üzerinde uygulama yapmaya başladı. Jandarma ekiplerinin de Hatay istikametinden gelen araçlar üzerinde benzer uygulama yapmaya başladı. Hatay ve Gaziantep'ten köy yollarını kullanarak Kilis'e gelenlerin engellenmesi içinde jandarma ekipleri denetimleri başladı.
Mehmet Ali Dağ
	 "
4,https://www.iha.com.tr/haber-icisleri-bakani-soyludan-bursaya-yakin-markaj-843812/,"
	Korona virüs pandemisi sebebiyle ayın konuğu programını telekonferans yoluyla gerçekleştiren Bursa İl Dernekleri Federasyonu (BİLDEF) 2. programda İçişleri Bakanı Süleyman Soylu'yu konuk etti.
	BİLDEF bünyesindeki 29 ayrı derneğin başkanının hazır bulunduğu toplantıda Bakan soylu 2 saat boyunca kendisine yöneltilen soruları cevaplandırdı. Dernek başkanları Bursa'nın sorunları başta olmak üzere üyelerinin ve halkın sorunları ve taleplerini Bakan Soylu'ya iletti.
	Bildef Genel Başkanı Ramazan Alp'in moderatörlüğünü yaptığı telekonferans boyunca İçişleri Bakanı Süleyman Soylu'nun sorulan tüm sorulara samimi ve içten cevap vermesi tüm dernek başkanlarının takdirini topladı. Başkanlar, Bakan Soylu'ya talep ve önerilerini direkt olarak aktarma fırsatını yakaladı. Ülkenin içinde olduğu tüm sorunlar dile getirilerek çözüm önerileri sunuldu. Başkanlar İçişleri Bakanı'ndan Cumhurbaşkanı ile de bir telekonferans yapılması için talepte bulundu. Soylu, başkanların talebini Cumhurbaşkanına ileteceğini söyledi.
	Toplantı Bakan Soylu'yu alkışlayan dernek başkanlarının teşekkürleriyle son buldu.
Süleyman Aydın
	 "
5,https://www.iha.com.tr/haber-isale-hatti-projesi-tamamlandi-843810/,"
	Suluova Belediyesi, 52 yıllık Havza-Eymir içme suyu isalesi ve 35 yıllık Alaçam-Evrice (Akdağ) içme suyu isale hattının yenilenmesi için başlattığı proje çalışmasında sona geldi. Daha kaliteli, sağlıklı ve yeterli içme suyu kullanabilmesi için mevcut hatların bakım ve yenileme çalışmalarına devam ettiğini ifade eden Belediye Başkanı Fatih Üçok, ""Gelecekte içme suyu ihtiyacının artacağını göz önüne alarak önemli su kaynaklarını devreye sokmak için bölgede önemli adımlar attık. Zamana ve kullanıma bağlı olarak yıpranan hatların yenileme çalışmaları kapsamında Belediyemiz ile İller Bankası Genel Müdürlüğümüz ve yüklenici firma tarafından başlattığımız proje çalışmasında sona geldik. Havza-Eymir içme suyu ve Alaçam-Evrice (Akdağ) içme suyu isale hattı üzerinde yenileme çalışması yaparak yeniden ilçemize kazandırıyoruz” dedi."
6,https://www.iha.com.tr/haber-evinden-cikmayan-yaslilar-icin-alisveris-yaptilar-843809/,"
	Korona virüs salgını nedeniyle evden çıkmayan yaşlılar için marketten alışveriş yapan gençler, bir nebze de olsa 65 yaş üstü vatandaşların ihtiyaçlarını giderdi.
	Amaçlarının sadece yaşlıların ve ihtiyaç sahibi ailelerin hayır dualarını almak olduğunu söyleyen gönüllülerden Meliha Kurt, ""Korona virüs sebebiyle dışarı çıkamayan yaşlılarımız için markete gidip alışveriş yaptık, kapılarına kadar teslim ettik. Bizleri kapıda karşılayıp, gördüklerinde çok mutlu olduklarını söylediler.
	Onlarla sohbet edip hayır dualarını aldık. Bizlere Allah'ın emaneti olan yaşlılarımızı bu süreçte yalnız bırakmayacağız. Bizler gönüllü arkadaşlarla birlikte hep onların yanında olacağız"" dedi.
Fazilet Çomruk
	 "
7,https://www.iha.com.tr/haber-kaldirimda-oturan-vatandasin-uzerine-beton-parcalarin-dustugu-anlar-kamerada-843807/,"
	Kadıköy'de geçtiğimiz günlerde meydana gelen olayda, Vecdi Akgül telefon tamircisine verdiği telefonunu beklemek için bir kaldırıma oturdu. O sırada binanın çatı çıkıntısından kopan beton parçaları bir anda adamın üzerine düştü. Neye uğradığını şaşıran Akgül yerinden fırlayıp kaçtı. Beton parçaların düşmesi nedeniyle Akgül omuzundan yaralandı. Öte yanda düşen parçaların Akgül'ün kafasına isabet etmemesi olası bir faciayı önlemiş oldu.
	O anlar güvenlik kamerasına yansıdı. Görüntülerde kaldırımda oturan üzerine başına bir anda beton parçalar düşmeye başlıyor. Neye uğradığını şaşıran adam yerinden fırlayıp kaçıyor.
Mustafa Biçer - Gamze Erdemir"
8,https://www.iha.com.tr/haber-yesil-golun-turizme-kazandirilmasi-calismalar-basliyor-843803/,"
	Eşsiz manzarasıyla ilgi odağı olan göl hazırlanan turizme kazandırılacak. 2019 Yılı Turizm Altyapısının Geliştirilmesi Mali Destek Programı kapsamında Laçin Köylere Hizmet Götürme Birliği tarafından Orta Karadeniz Kalkınma Ajansı(OKA)'na sunulan “Yeşil Göl” başlıklı proje, OKA tarafından onaylanarak ihalesi 28 Nisan'da 1 milyon 270 bin TL bedelle ihale edildi. Yüklenici ile sözleşme imzalandıktan sonra ay içerisinde yapım işlerine başlanılması planlanırken, proje bütçesinin 605 bin tutarındaki bölümü OKA, kalan kısmı ise Çorum İl Özel İdaresi tarafından finanse edilecek.
	Çorum Valililiği'nden yapılan açıklama da şu ifadelere yer verildi; “Proje kapsamında bölgemizde doğa turizminin ve istihdamın canlandırılması amacıyla, Laçin ilçesi sınırlarında Köse Dağında orman içerisinde yer alan doğa harikası Yeşil Göl Mesire Alanında restoran, kafeterya, yöresel ürün satış yerleri, çocuk oyun parkı, otopark, iskele, yapay şelale, yürüyüş yolu, koşu ve bisiklet yolları yapılması planlanmaktadır. Projenin tamamlanması ile birlikte Yeşil Göl Mesire alanının, orman içerisinde ve göl kenarında yer alan, yakınlarında doğal şelalesi bulunan, doğa sporlarının ve kamp faaliyetlerinin yapılabileceği tek mesire yeri olarak bölgemizde cazibe merkezi olması beklenmektedir. Yeşilgöl olarak bilinen, ilçeye yakın mesafede, dağın eteğinde yüksek bir noktadaki bu gölün, eşsiz manzarası, bitki örtüsü ve doğal güzellikleriyle adeta saklı cennet olarak nitelendirilen bu doğa harikasının, hayata geçirilen bu proje ile biran önce turizme kazandırılması ilimiz için önemli bir gelir kaynağı olacaktır. Kamuoyunun bilgisine sunulur."" "
9,https://www.iha.com.tr/haber-kapalicarsi-1-haziranda-acilacak-843799/,
